,linear,poly,rbf,sigmoid
0.1,"('0.9248554913294798%', 0.043341875076293945)","('0.9248554913294798%', 15.887377738952637)","('0.9017341040462428%', 0.028719663619995117)","('0.5144508670520231%', 0.033651113510131836)"
0.2,"('0.9069767441860465%', 0.037653446197509766)","('0.938953488372093%', 12.717263221740723)","('0.8895348837209303%', 0.023334503173828125)","('0.5145348837209303%', 0.026638269424438477)"
0.3,"('0.8854368932038835%', 0.03042769432067871)","('0.9378640776699029%', 8.012025594711304)","('0.916504854368932%', 0.019796371459960938)","('0.5145631067961165%', 0.021074533462524414)"
0.4,"('0.8806404657933042%', 0.023803234100341797)","('0.9243085880640466%', 9.050120115280151)","('0.9112081513828238%', 0.016778945922851562)","('0.5152838427947598%', 0.017333507537841797)"
0.5,"('0.9055944055944056%', 0.01907181739807129)","('0.921911421911422%', 9.245975732803345)","('0.8997668997668997%', 0.012967586517333984)","('0.5151515151515151%', 0.013674736022949219)"
0.6,"('0.8883495145631068%', 0.014295578002929688)","('0.9388349514563107%', 11.646430015563965)","('0.9077669902912622%', 0.009792327880859375)","('0.5145631067961165%', 0.010356903076171875)"
0.7,"('0.8968386023294509%', 0.008437871932983398)","('0.9284525790349417%', 3.125288724899292)","('0.8993344425956739%', 0.0073239803314208984)","('0.5149750415973378%', 0.007467985153198242)"
0.8,"('0.8885651857246905%', 0.007468700408935547)","('0.9089584850691915%', 6.23728609085083)","('0.8936635105608157%', 0.0057833194732666016)","('0.5149308084486526%', 0.005747079849243164)"
0.9,"('0.875%', 0.005093812942504883)","('0.9106217616580311%', 1.3028743267059326)","('0.8944300518134715%', 0.0048220157623291016)","('0.5148963730569949%', 0.004660367965698242)"
