,linear,poly,rbf,sigmoid
0.1,"('0.501989960200796%', 523.6294929981232)","('0.24157516849663008%', 999.758721113205)","('0.24157516849663008%', 3153.416049718857)","('0.31929361412771745%', 3937.866595506668)"
0.2,"('0.23325766742332577%', 576.1600279808044)","('0.24158758412415876%', 1153.7814195156097)","('0.7673623263767362%', 2839.0870418548584)","('0.7844121558784413%', 3828.0188291072845)"
0.3,"('0.24157838947740348%', 467.86961007118225)","('0.24157172285518097%', 956.077333688736)","('0.7621349191005393%', 2477.37855219841)","('0.758441610389264%', 3758.647979259491)"
0.4,"('0.24266878665606673%', 487.13863372802734)","('0.7584312078439608%', 460.32693696022034)","('0.7623161884190579%', 2737.75936293602)","('0.7584412077939611%', 3855.9257757663727)"
0.5,"('0.3024707901168395%', 347.21402645111084)","('0.7584169663321346%', 576.7009830474854)","('0.7573929704281183%', 1808.0213649272919)","('0.758436966252135%', 2457.3637759685516)"
0.6,"('0.7575041416528612%', 244.67791748046875)","('0.24156919476935076%', 455.911616563797)","('0.7627774574084754%', 1061.0850455760956)","('0.758440805197316%', 2097.226177930832)"
0.7,"('0.7193008019977086%', 296.23087763786316)","('0.7584178330919055%', 352.14619541168213)","('0.7579321201939423%', 783.4114830493927)","('0.6407867406093125%', 623.8072733879089)"
0.8,"('0.4985037537406157%', 131.06185674667358)","('0.7584256039359901%', 129.04318404197693)","('0.7577956055109862%', 184.78452706336975)","('0.7575706060734848%', 1508.0415861606598)"
0.9,"('0.7584405367988071%', 48.101354122161865)","('0.22661282974926722%', 18.61967897415161)","('0.7584405367988071%', 45.41037726402283)","('0.7584405367988071%', 80.33289003372192)"
